food_name,cal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,sugar_per_100g,fiber_per_100g,sodium_per_100g,satfat_per_100g,matched
- agave syrup,310.0,0.09,0.45,76.4,68.0,0.2,4.0,0.0,yes
- all-purpose flour,364.0,10.3,0.98,76.3,0.27,2.7,2.0,0.155,yes
- ancho chili powder,282.0,13.5,14.3,49.7,7.19,34.8,2870.0,2.46,yes
- apple cider vinegar,21.0,0.0,0.0,0.93,0.4,0.0,5.0,0.0,yes
- avocado oil,884.0,0.0,100.0,0.0,0.0,0.0,0.0,11.6,yes
- avocados,884.0,0.0,100.0,0.0,0.0,0.0,0.0,11.6,yes
- bird s eye chilies,170.0,0.91,0.67,40.0,35.3,1.0,1010.0,0.101,yes
- black lentils,352.0,24.6,1.06,63.4,2.03,10.7,6.0,0.154,yes
- block firm tofu,85.0,10.9,4.19,0.97,0.4,0.9,33.0,0.71,yes
- bok choy,13.0,1.5,0.2,2.18,1.18,1.0,65.0,0.027,yes
- boneless beef chuck roast,190.0,26.4,9.36,0.0,0.0,0.0,79.0,3.75,yes
- bottled white horseradish,37.0,0.55,0.66,7.54,7.69,0.6,2.0,0.082,yes
- bpa-free cans unsalted tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
- brown sugar,380.0,0.12,0.0,98.1,97.0,0.0,28.0,0.0,yes
- bunch spinach,400.0,7.1,5.0,82.8,20.4,5.8,464.0,0.6,yes
- butter,900.0,0.0,100.0,0.0,0.0,0.0,0.0,60.0,yes
- can black beans,91.0,4.83,1.32,15.4,2.49,6.8,970.0,0.34,yes
- can black olives,145.0,1.03,15.3,3.84,0.54,3.3,1560.0,2.03,yes
- can chicken broth,185.0,25.3,8.1,0.9,0.0,0.0,482.0,2.25,yes
- can chickpeas,139.0,7.05,2.77,22.5,4.01,6.4,246.0,0.214,yes
- can fire-roasted tomatoes,32.0,1.64,0.28,7.29,4.4,1.9,186.0,0.04,yes
- can green chiles,21.0,0.72,0.27,4.6,0.0,1.7,397.0,0.028,yes
- can hominy,72.0,1.48,0.88,14.3,1.51,2.5,267.0,0.123,yes
